field	2.spe
 334.206	 16375
 334.208	 16375
 334.211	 16375
 334.213	 16360
 334.215	 16375
 334.218	 16360
 334.220	 16360
 334.222	 16360
 334.225	 16360
 334.227	 16375
 334.229	 16375
 334.232	 16390
 334.234	 16375
 334.236	 16390
 334.239	 16390
 334.241	 16390
 334.244	 16390
 334.246	 16390
 334.248	 16400
 334.251	 16400
 334.253	 16415
 334.255	 16415
 334.258	 16415
 334.260	 16415
 334.262	 16430
 334.265	 16415
 334.267	 16400
 334.269	 16400
 334.272	 16400
 334.274	 16400
 334.276	 16400
 334.279	 16390
 334.281	 16390
 334.283	 16390
 334.286	 16390
 334.288	 16400
 334.290	 16415
 334.293	 16400
 334.295	 16400
 334.297	 16415
 334.300	 16415
 334.302	 16430
 334.304	 16430
 334.307	 16440
 334.309	 16440
 334.312	 16455
 334.314	 16440
 334.316	 16440
 334.319	 16455
 334.321	 16440
 334.323	 16440
 334.326	 16455
 334.328	 16455
 334.330	 16455
 334.333	 16470
 334.335	 16470
 334.337	 16470
 334.340	 16480
 334.342	 16470
 334.344	 16455
 334.347	 16480
 334.349	 16470
 334.351	 16470
 334.354	 16480
 334.356	 16480
 334.358	 16480
 334.361	 16480
 334.363	 16495
 334.365	 16510
 334.368	 16510
 334.370	 16495
 334.372	 16510
 334.375	 16510
 334.377	 16510
 334.379	 16520
 334.382	 16520
 334.384	 16520
 334.387	 16535
 334.389	 16535
 334.391	 16535
 334.394	 16550
 334.396	 16560
 334.398	 16550
 334.401	 16550
 334.403	 16550
 334.405	 16550
 334.408	 16550
 334.410	 16560
 334.412	 16550
 334.415	 16560
 334.417	 16560
 334.419	 16560
 334.422	 16590
 334.424	 16575
 334.426	 16575
 334.429	 16575
 334.431	 16590
 334.433	 16590
 334.436	 16590
 334.438	 16590
 334.440	 16590
 334.443	 16590
 334.445	 16600
 334.447	 16630
 334.450	 16630
 334.452	 16615
 334.455	 16630
 334.457	 16615
 334.459	 16630
 334.462	 16630
 334.464	 16630
 334.466	 16630
 334.469	 16630
 334.471	 16640
 334.473	 16655
 334.476	 16655
 334.478	 16655
 334.480	 16655
 334.483	 16655
 334.485	 16670
 334.487	 16670
 334.490	 16680
 334.492	 16680
 334.494	 16680
 334.497	 16680
 334.499	 16695
 334.501	 16680
 334.504	 16695
 334.506	 16710
 334.508	 16710
 334.511	 16710
 334.513	 16710
 334.515	 16710
 334.518	 16720
 334.520	 16735
 334.522	 16735
 334.525	 16735
 334.527	 16750
 334.530	 16750
 334.532	 16735
 334.534	 16735
 334.537	 16735
 334.539	 16760
 334.541	 16750
 334.544	 16760
 334.546	 16750
 334.548	 16750
 334.551	 16750
 334.553	 16775
 334.555	 16775
 334.558	 16775
 334.560	 16775
 334.562	 16800
 334.565	 16800
 334.567	 16800
 334.569	 16830
 334.572	 16800
 334.574	 16800
 334.576	 16800
 334.579	 16800
 334.581	 16815
 334.583	 16840
 334.586	 16840
 334.588	 16840
 334.590	 16840
 334.593	 16840
 334.595	 16840
 334.598	 16855
 334.600	 16855
 334.602	 16870
 334.605	 16880
 334.607	 16895
 334.609	 16895
 334.612	 16895
 334.614	 16895
 334.616	 16920
 334.619	 16920
 334.621	 16920
 334.623	 16920
 334.626	 16920
 334.628	 16920
 334.630	 16920
 334.633	 16935
 334.635	 16960
 334.637	 16960
 334.640	 16960
 334.642	 16960
 334.644	 16960
 334.647	 16975
 334.649	 16975
 334.651	 16975
 334.654	 16975
 334.656	 16975
 334.658	 16990
 334.661	 17000
 334.663	 17000
 334.665	 17015
 334.668	 17015
 334.670	 17030
 334.673	 17040
 334.675	 17040
 334.677	 17040
 334.680	 17055
 334.682	 17070
 334.684	 17070
 334.687	 17080
 334.689	 17095
 334.691	 17095
 334.694	 17110
 334.696	 17110
 334.698	 17120
 334.701	 17135
 334.703	 17135
 334.705	 17135
 334.708	 17160
 334.710	 17175
 334.712	 17175
 334.715	 17190
 334.717	 17200
 334.719	 17200
 334.722	 17190
 334.724	 17200
 334.726	 17200
 334.729	 17200
 334.731	 17200
 334.733	 17230
 334.736	 17230
 334.738	 17230
 334.741	 17240
 334.743	 17240
 334.745	 17255
 334.748	 17255
 334.750	 17255
 334.752	 17255
 334.755	 17255
 334.757	 17255
 334.759	 17255
 334.762	 17270
 334.764	 17280
 334.766	 17280
 334.769	 17280
 334.771	 17280
 334.773	 17310
 334.776	 17295
 334.778	 17295
 334.780	 17295
 334.783	 17310
 334.785	 17335
 334.787	 17320
 334.790	 17320
 334.792	 17350
 334.794	 17350
 334.797	 17360
 334.799	 17360
 334.801	 17360
 334.804	 17375
 334.806	 17375
 334.809	 17375
 334.811	 17360
 334.813	 17375
 334.816	 17400
 334.818	 17400
 334.820	 17400
 334.823	 17415
 334.825	 17415
 334.827	 17400
 334.830	 17430
 334.832	 17430
 334.834	 17430
 334.837	 17455
 334.839	 17455
 334.841	 17455
 334.844	 17470
 334.846	 17470
 334.848	 17480
 334.851	 17495
 334.853	 17510
 334.855	 17495
 334.858	 17495
 334.860	 17495
 334.862	 17510
 334.865	 17520
 334.867	 17520
 334.869	 17535
 334.872	 17535
 334.874	 17535
 334.876	 17550
 334.879	 17550
 334.881	 17560
 334.884	 17550
 334.886	 17575
 334.888	 17590
 334.891	 17590
 334.893	 17590
 334.895	 17590
 334.898	 17590
 334.900	 17575
 334.902	 17590
 334.905	 17575
 334.907	 17575
 334.909	 17590
 334.912	 17615
 334.914	 17615
 334.916	 17615
 334.919	 17615
 334.921	 17630
 334.923	 17655
 334.926	 17655
 334.928	 17655
 334.930	 17655
 334.933	 17655
 334.935	 17655
 334.937	 17655
 334.940	 17655
 334.942	 17655
 334.944	 17670
 334.947	 17670
 334.949	 17670
 334.952	 17695
 334.954	 17710
 334.956	 17710
 334.959	 17710
 334.961	 17710
 334.963	 17710
 334.966	 17710
 334.968	 17710
 334.970	 17710
 334.973	 17710
 334.975	 17710
 334.977	 17710
 334.980	 17710
 334.982	 17710
 334.984	 17720
 334.987	 17720
 334.989	 17720
 334.991	 17720
 334.994	 17710
 334.996	 17710
 334.998	 17680
 335.001	 17695
 335.003	 17695
 335.005	 17710
 335.008	 17710
 335.010	 17720
 335.012	 17720
 335.015	 17720
 335.017	 17720
 335.019	 17710
 335.022	 17695
 335.024	 17710
 335.027	 17720
 335.029	 17720
 335.031	 17720
